Location,Developer_Name,Project_Name
Dwarka Expressway,Perfect Buildwell Pvt,Zara awas
Golf Course Road Extension,Pioneer Urban,Pioneer Presidia
Sohna Road,Omaxe Construction limited,Omaxe The Nile
Golf Course Road Extension,Pioneer Urban,Pioneer Araya
Sohna Road,Residential complex,Malibu Towne
Dwarka Expressway,Pivotal Infrastructure Pvt. Ltd,Pivotal devaan
Dwarka Expressway,Pivotal Infrastructure Pvt. Ltd,Pivotal Riddi Siddhi
Dwarka Expressway,Puri Constructions,Puri Constructions Diplomatic Greens Phase 1
Dwarka Expressway,Puri Constructions,Puri Constructions Diplomatic Greens Phase 2
Dwarka Expressway,Puri Constructions,Puri Constructions Emerald Bay
Dwarka Expressway,QVC Realty,QVC Gurgaon
Dwarka Expressway,Raheja Group,Raheja Srishti
Dwarka Expressway,Raheja Group,Raheja Atharva
Dwarka Expressway,Raheja Group,Raheja Shilas
New Gurgaon,Raheja Group,Raheja Sampada Towers
Dwarka Expressway,Raheja Group,Raheja Vanya
Dwarka Expressway,Ramada Group,Ramada Aalayas
Dwarka Expressway,Ramprastha Group,Ramprastha City The Edge Towers
Dwarka Expressway,Ramprastha Group,Ramprastha City The View
Dwarka Expressway,Ramprastha Group,Ramprastha City The Atrium
Dwarka Expressway,Ramprastha Group,Ramprastha Skyz
Dwarka Expressway,Ramprastha Group,Ramprastha The arc
Dwarka Expressway,Ramprastha Group,Ramprastha primera
Dwarka Expressway,Ramprastha Group,Ramprastha Rise
Sohna Road,Reputed builder,Golden Apartment
Sohna Road,Sweta Estates Private Limited,Central Park 2 -  Belgravia Resort Residency
Dwarka Expressway,Sahara Prime City,Sahara parivar
M.G Road,Sahara Prime city ltd,Sahara Grace Condominium
Golf Course Road,Salcon group,Salcon The Verandas
New Gurgaon,SARE Group,SARE Crescent Parc
Golf Course Road Extension,Satya Group,Clarion the Legend
Dwarka Expressway,Satya Group,Satya The Hermitage
Dwarka Expressway,Satya Group,Satya 99
Dwarka Expressway,Shapoorji Pallonji Group,Michael schumaker
Dwarka Expressway,Shapoorji Pallonji Group,World tower
Dwarka Expressway,Sidhartha Group,Siddharth estella
New Gurgaon,Sidhartha Group,Siddhartha NCR one / NCR greens
Dwarka Expressway,Signature Global Group,Signature global grand
Golf Course Road,Silverglades Group,Silverglades The Ivy
Dwarka Expressway,Sobha Developers,Sobha International City
Dwarka Expressway,Soldier Housing Welfare Organization,Soldier officer heights
Sohna Road,Spaze Group,Spaze Privy
Dwarka Expressway,Spaze Group,Spaze Privy AT4
Dwarka Expressway,Spaze Group,Space kalistaa
New Gurgaon,Spaze Group,Sapze Privy The Address
Dwarka Expressway,Spire World,Spirewoods
Dwarka Expressway,Spire World,Spire Condominiums
Dwarka Expressway,SS Group,SS arcadia
Dwarka Expressway,SS Group,SS The coralwood
Sohna Road,Orchid Infrastructure Developers,Orchid Petals
Dwarka Expressway,SS Group,SS Hibiscus 2
Dwarka Expressway,SS Group,SS group Coralwood
Dwarka Expressway,SS Group,SS Almeria
Golf Course Road,Suncity Projects,Suncity Heights
M.G Road,Suncity Projects,Suncity Essel Tower :  Pilot Court
M.G Road,Suncity Projects,Suncity Essel Tower : Orlov Court
M.G Road,Suncity Projects,Suncity Essel Tower : Amber Court
M.G Road,Suncity Projects,Suncity Essel Tower : Pearl Court
M.G Road,Suncity Projects,Suncity Essel Tower : Ivory Court
M.G Road,Suncity Projects,Suncity Essel Tower : Sapphire Court
M.G Road,Suncity Projects,Suncity Essel Tower : Diamond Court
M.G Road,Suncity Projects,Suncity Essel Tower : Emerald Court
M.G Road,Suncity Projects,Suncity Essel Tower : Coral Court
Dwarka Expressway,Suncity Projects Pvt. Ltd,Suncity avenue 102
Sohna Road,Sweta Estates Private Limited,Central park II- The Room
Golf Course Road Extension,Unitech group,Unitech Escape
Dwarka Expressway,Tashee Group,Tashee capital gateway
Dwarka Expressway,Tata Housing,Gurgaon gateway
Dwarka Expressway,Tata Housing,Tata Gurgaon Gateway
Sohna Road,Parsvnath developers,Parsvnath Green Ville
Sohna Road,Tata Housing,Primanti
Golf Course Road,CGHS,Shiv Shakti Apartment
Golf Course Road Extension,Tata Housing and Raheja Developers,Tata Raheja Raisina Residency
Golf Course Road,TDI Infrastructure Ltd,TDI Ourania
New Gurgaon,The Ansal API,Ansal The Fern Hill
